year,mode,manufacturer,date,date_in_period,vin,driverless_capable,driver_present,initiated_by,location,cause_text,cause_category
2020,safety-driver,Apple,2019-12-05T00:00:00,True,2T2BGMCA2HC012521,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2019-12-05T00:00:00,True,2T2BGMCA2HC012521,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2019-12-05T00:00:00,True,2T2BGMCA9GC007394,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2019-12-05T00:00:00,True,2T2BGMCA9GC007394,False,True,AV System,Street,Sensor data mismatch caused software kickout,Perception
2020,safety-driver,Apple,2019-12-06T00:00:00,True,2T2BGMCA0HC014753,False,True,Test Driver,Street,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Apple,2019-12-06T00:00:00,True,2T2BGMCA7GC003781,False,True,Test Driver,Street,Incorrect prediction lead to undesirable motion plan,Planning
2020,safety-driver,Apple,2019-12-07T00:00:00,True,2T2BGMCA2HC019338,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2019-12-07T00:00:00,True,2T2BGMCA2HC019338,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2019-12-09T00:00:00,True,2T2BGMCA0HC014753,False,True,AV System,Street,Sensor data mismatch caused software kickout,Perception
2020,safety-driver,Apple,2019-12-09T00:00:00,True,2T2BGMCA0HC019967,False,True,AV System,Street,Sensor data mismatch caused software kickout,Perception
2020,safety-driver,Apple,2019-12-10T00:00:00,True,2T2BGMCA9GC007394,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2019-12-11T00:00:00,True,2T2BGMCA3HC020062,False,True,Test Driver,Street,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Apple,2019-12-12T00:00:00,True,2T2BGMCA5HC014389,False,True,AV System,Street,Motion control health check caused software kickout,Hardware-Software
2020,safety-driver,Apple,2019-12-13T00:00:00,True,2T2BGMCA0HC014753,False,True,Test Driver,Street,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Apple,2019-12-13T00:00:00,True,2T2BGMCA0HC014753,False,True,Test Driver,Street,Hardware diagnostic caused software kickout,Hardware-Software
