year,mode,manufacturer,miles,reported_events,detail_events,event_difference,events,eligible
2020,safety-driver,Apple,18805.3,130,130,0,130,True
2020,safety-driver,Aurora,12200.78,37,37,0,37,True
2020,safety-driver,AutoX,40734.0,2,2,0,2,True
2020,safety-driver,BMW,122.0,3,3,0,3,True
2020,safety-driver,Cruise,770049.26,27,27,0,27,True
2020,safety-driver,DiDi,10401.49,2,2,0,2,True
2020,safety-driver,EasyMile,424.0,128,128,0,128,True
2020,safety-driver,Gatik,2352.0,11,11,0,11,True
2020,safety-driver,Lyft,32731.3584115,123,123,0,123,True
2020,safety-driver,Mercedes-Benz,29983.8,1167,1167,0,1167,True
2020,safety-driver,NVIDIA,3033.0,125,125,0,125,True
2020,safety-driver,Nissan,394.5,4,4,0,4,True
2020,safety-driver,Nuro,55369.840000000004,11,11,0,11,True
2020,safety-driver,Pony.ai,225496.0,21,21,0,21,True
2020,safety-driver,Qualcomm,1727.0,90,90,0,90,True
2020,safety-driver,Ridecell,147.63,189,189,0,189,True
2020,safety-driver,SF Motors,874.6899999999999,61,61,0,61,True
2020,safety-driver,Telenav,4.0,2,2,0,2,True
2020,safety-driver,Toyota Research Institute,2875.0,1215,1215,0,1215,True
2020,safety-driver,Udelv,66.0,49,49,0,49,True
2020,safety-driver,Valeo,49.0,99,99,0,99,True
2020,safety-driver,Waymo,628838.5,21,21,0,21,True
2020,safety-driver,WeRide,13014.0,2,2,0,2,True
2020,safety-driver,Zoox,102521.0,63,63,0,63,True
2020,safety-driver,aiMotive,2987.0,113,113,0,113,True
2021,safety-driver,Apollo,1467.5,1,1,0,1,True
2021,safety-driver,Apple,13272.0,663,663,0,663,True
2021,safety-driver,Argo AI,36733.869999999995,1,1,0,1,True
2021,safety-driver,Aurora,12647.07,9,9,0,9,True
2021,safety-driver,AutoX,50108.0,1,1,0,1,True
2021,safety-driver,Cruise,876104.72,21,21,0,21,True
2021,safety-driver,DeepRoute,30872.0,2,2,0,2,True
2021,safety-driver,DiDi,40744.67,1,1,0,1,True
2021,safety-driver,EasyMile,320.0,222,222,0,222,True
2021,safety-driver,Gatik,1924.0,6,6,0,6,True
2021,safety-driver,Imagry,731.25,71,71,0,71,True
2021,safety-driver,Lyft,11200.10544488,23,23,0,23,True
2021,safety-driver,Mercedes-Benz,58613.0,272,272,0,272,True
2021,safety-driver,NVIDIA,28004.0,82,82,0,82,True
2021,safety-driver,Nissan,508.0,17,17,0,17,True
2021,safety-driver,Nuro,59100.020000000004,23,23,0,23,True
2021,safety-driver,Pony.ai,305616.73,21,21,0,21,True
2021,safety-driver,Qcraft,6320.0,5,5,0,5,True
2021,safety-driver,Qualcomm,1635.0,143,143,0,143,True
2021,safety-driver,Toyota Research Institute,13959.0,419,419,0,419,True
2021,safety-driver,Udelv,60.0,46,46,0,46,True
2021,safety-driver,Valeo,336.0,205,205,0,205,True
2021,safety-driver,Waymo,2325842.9,292,292,0,292,True
2021,safety-driver,WeRide,57966.25,3,3,0,3,True
2021,safety-driver,Zoox,155125.0,21,21,0,21,True
2021,safety-driver,aiMotive,2976.0,106,106,0,106,True
2022,safety-driver,Apollo,2477.0,0,0,0,0,True
2022,safety-driver,Apple,125096.3,5982,5982,0,5982,True
2022,safety-driver,Argo AI,18640.809999999998,1,1,0,1,True
2022,safety-driver,Aurora,25.86,0,0,0,0,True
2022,safety-driver,AutoX,49314.0,1,1,0,1,True
2022,safety-driver,Cruise,863110.92,9,9,0,9,True
2022,safety-driver,DeepRoute,761.0,0,0,0,0,True
2022,safety-driver,DiDi,38265.14,2,2,0,2,True
2022,safety-driver,Gatik,1016.0,3,3,0,3,True
2022,safety-driver,Ghost Autonomy,14558.880000000001,448,448,0,448,True
2022,safety-driver,Imagry,650.1125,204,204,0,204,True
2022,safety-driver,Intel,781.0,155,155,0,155,True
2022,safety-driver,Mercedes-Benz,52975.29361422,38,38,0,38,True
2022,safety-driver,Motional,4938.8,135,135,0,135,True
2022,safety-driver,NVIDIA,7169.26,7,7,0,7,True
2022,safety-driver,Nissan,1194.2,8,8,0,8,True
2022,safety-driver,Nuro,94983.43,15,15,0,15,True
2022,safety-driver,Pony.ai,280412.0,20,20,0,20,True
2022,safety-driver,Qcraft,2589.0,3,3,0,3,True
2022,safety-driver,Qualcomm,3017.0,128,128,0,128,True
2022,safety-driver,Toyota Research Institute,4774.0,112,112,0,112,True
2022,safety-driver,Valeo,339.0,71,71,0,71,True
2022,safety-driver,Waymo,2900143.8,170,170,0,170,True
2022,safety-driver,WeRide,64560.57,3,3,0,3,True
2022,safety-driver,Zoox,552133.0,21,21,0,21,True
2022,safety-driver,aiMotive,15215.0,680,680,0,680,True
2023,driverless,Apollo,577.6,0,0,0,0,True
2023,driverless,Cruise,2064728.18,0,0,0,0,True
2023,driverless,Nuro,2243.81,0,0,0,0,True
2023,driverless,Waymo,1188928.4,14,14,0,14,True
2023,driverless,WeRide,50.980000000000004,0,0,0,0,True
2023,driverless,Zoox,11263.0,0,0,0,0,True
2023,safety-driver,Apollo,15311.7,3,3,0,3,True
2023,safety-driver,Apple,452743.89999999997,3194,3194,0,3194,True
2023,safety-driver,Aurora,700.26,47,47,0,47,True
2023,safety-driver,AutoX,7870.0,0,0,0,0,True
2023,safety-driver,Bosch,759.3100000000001,314,314,0,314,True
2023,safety-driver,Cruise,583624.25,0,0,0,0,True
2023,safety-driver,DiDi,4004.1000000000004,1,1,0,1,True
2023,safety-driver,Gatik,634.0,2,2,0,2,True
2023,safety-driver,Ghost Autonomy,52770.8,1034,1034,0,1034,True
2023,safety-driver,Imagry,723.56,124,124,0,124,True
2023,safety-driver,Mercedes-Benz,58342.6861475,0,0,0,0,True
2023,safety-driver,Motional,16214.18,593,593,0,593,True
2023,safety-driver,Nissan,4825.0,17,17,0,17,True
2023,safety-driver,Nuro,104011.11,47,47,0,47,True
2023,safety-driver,Qualcomm,3837.0,197,197,0,197,True
2023,safety-driver,Valeo,104.0,21,21,0,21,True
2023,safety-driver,Waymo,3669962.4,212,212,0,212,True
2023,safety-driver,WeRide,42381.29,2,2,0,2,True
2023,safety-driver,Woven by Toyota,4194.0,42,42,0,42,True
2023,safety-driver,Zoox,710409.1,4,4,0,4,True
2023,safety-driver,aiMotive,14876.41,708,708,0,708,True
2024,driverless,Nuro,169.08560212,0,0,0,0,True
2024,driverless,Waymo,516572.1,22,22,0,22,True
2024,driverless,WeRide,471.41999999999996,0,0,0,0,True
2024,driverless,Zoox,35683.3,0,0,0,0,True
2024,safety-driver,Apollo,3.1,0,0,0,0,True
2024,safety-driver,Apple,152923.7,285,285,0,285,True
2024,safety-driver,AutoX,7459.0,0,0,0,0,True
2024,safety-driver,Bosch,164.21,77,77,0,77,True
2024,safety-driver,Cruise,8008.01,1,1,0,1,True
2024,safety-driver,Gatik,726.0,1,1,0,1,True
2024,safety-driver,Ghost Autonomy,13138.23,351,351,0,351,True
2024,safety-driver,Imagry,856.2,136,136,0,136,True
2024,safety-driver,Mercedes-Benz,45081.21,4,4,0,4,True
2024,safety-driver,Motional,14083.5,320,320,0,320,True
2024,safety-driver,Nissan,2153.0,11,11,0,11,True
2024,safety-driver,Nullmax,513.0,0,0,0,0,True
2024,safety-driver,Nuro,210544.37340086,103,103,0,103,True
2024,safety-driver,Pony.ai,51555.58,3,3,0,3,True
2024,safety-driver,Valeo,36.0,12,12,0,12,True
2024,safety-driver,Vueron,40.0,0,0,0,0,True
2024,safety-driver,Waymo,2389565.2,244,244,0,244,True
2024,safety-driver,WeRide,60191.74,3,3,0,3,True
2024,safety-driver,Zoox,951870.953,34,34,0,34,True
2024,safety-driver,aiMotive,3744.5299999999997,188,188,0,188,True
