source_row,report_id,year_month,city,in_transport,injury,airbag
2,30270-9682,202412,SAN_FRANCISCO,1,0,0
3,30270-9609,202412,PHOENIX,1,0,0
4,30270-9604,202412,LOS_ANGELES,1,0,0
5,30270-9603,202412,LOS_ANGELES,1,0,0
6,30270-9602,202412,SAN_FRANCISCO,1,0,0
7,30270-9601,202412,SAN_FRANCISCO,1,0,0
8,30270-9600,202412,LOS_ANGELES,1,0,0
9,30270-9599,202412,PHOENIX,1,0,0
10,30270-9598,202412,PHOENIX,1,0,0
11,30270-9596,202412,PHOENIX,1,0,0
12,30270-9595,202412,SAN_FRANCISCO,1,0,0
13,30270-9594,202412,LOS_ANGELES,1,0,0
14,30270-9592,202412,SAN_FRANCISCO,1,0,0
15,30270-9591,202412,PHOENIX,1,0,0
16,30270-9590,202412,SAN_FRANCISCO,1,0,0
17,30270-9589,202412,LOS_ANGELES,1,0,0
18,30270-9588,202412,LOS_ANGELES,1,0,0
19,30270-9587,202412,SAN_FRANCISCO,1,0,0
20,30270-9586,202412,SAN_FRANCISCO,1,0,0
21,30270-9585,202412,AUSTIN,1,0,0
22,30270-9584,202412,LOS_ANGELES,1,0,0
23,30270-9583,202412,SAN_FRANCISCO,1,1,0
24,30270-9582,202412,SAN_FRANCISCO,1,0,0
25,30270-9580,202412,SAN_FRANCISCO,1,0,0
26,30270-9579,202412,SAN_FRANCISCO,1,0,0
27,30270-9575,202412,SAN_FRANCISCO,1,0,0
28,30270-9574,202412,LOS_ANGELES,0,0,0
29,30270-9573,202412,AUSTIN,0,0,0
30,30270-9572,202412,SAN_FRANCISCO,1,0,0
31,30270-9571,202412,PHOENIX,0,0,0
32,30270-9570,202412,SAN_FRANCISCO,0,0,0
33,30270-9569,202412,PHOENIX,1,0,0
34,30270-9568,202412,SAN_FRANCISCO,1,0,0
35,30270-9567,202412,PHOENIX,0,0,0
36,30270-9566,202412,SAN_FRANCISCO,1,0,0
37,30270-9564,202412,SAN_FRANCISCO,1,0,0
38,30270-9563,202412,LOS_ANGELES,1,0,0
39,30270-9561,202412,LOS_ANGELES,1,0,0
40,30270-9560,202412,LOS_ANGELES,1,0,0
41,30270-9559,202412,PHOENIX,1,0,0
42,30270-9557,202412,LOS_ANGELES,1,0,0
43,30270-9556,202412,LOS_ANGELES,1,0,0
44,30270-9555,202412,PHOENIX,0,0,0
45,30270-9554,202412,PHOENIX,0,0,0
46,30270-9553,202412,SAN_FRANCISCO,1,0,0
47,30270-9546,202412,SAN_FRANCISCO,1,0,0
48,30270-9545,202412,SAN_FRANCISCO,1,0,0
49,30270-9544,202412,PHOENIX,1,0,0
50,30270-9541,202412,PHOENIX,1,1,0
51,30270-9540,202412,SAN_FRANCISCO,1,0,0
52,30270-9540,202412,LOS_ANGELES,1,0,0
53,30270-9539,202412,SAN_FRANCISCO,1,0,0
54,30270-9534,202412,SAN_FRANCISCO,1,0,0
55,30270-9517,202412,LOS_ANGELES,1,0,0
56,30270-9508,202412,PHOENIX,1,0,1
57,30270-9507,202412,SAN_FRANCISCO,1,0,0
58,30270-9486,202412,SAN_FRANCISCO,1,0,0
59,30270-9459,202412,SAN_FRANCISCO,1,1,0
60,30270-9391,202412,SAN_FRANCISCO,1,0,0
61,30270-9389,202412,SAN_FRANCISCO,1,0,0
62,30270-9388,202412,SAN_FRANCISCO,1,0,0
63,30270-9334,202412,SAN_FRANCISCO,1,0,0
64,30270-9333,202412,SAN_FRANCISCO,1,0,0
65,30270-9330,202412,LOS_ANGELES,1,0,0
66,30270-9329,202412,PHOENIX,1,0,0
67,30270-9326,202412,SAN_FRANCISCO,1,0,0
