event_id,sgo_report_id,early_event_number,location,sgo_reportable,in_transport_impacted,above_low_delta_v,police_reported,any_injury,source_page
30270-6668,30270-6668,,PHX,1,1,1,0,0,19
30270-6667,30270-6667,,SFO,1,1,0,0,0,19
30270-6666,30270-6666,,SFO,1,1,0,0,0,19
30270-6664,30270-6664,,PHX,1,1,0,0,0,19
30270-6663,30270-6663,,SFO,1,1,1,0,0,19
30270-6662,30270-6662,,SFO,1,1,0,0,0,19
30270-6661,30270-6661,,SFO,1,1,1,0,0,19
30270-6566,30270-6566,,PHX,1,1,0,1,1,19
30270-6561,30270-6561,,PHX,1,1,0,1,0,19
30270-6548,30270-6548,,PHX,1,1,0,1,0,19
30270-6542,30270-6542,,PHX,1,0,0,0,0,19
30270-6521,30270-6521,,PHX,1,1,0,0,0,19
30270-6520,30270-6520,,PHX,1,1,0,0,0,19
30270-6519,30270-6519,,PHX,1,1,1,1,0,19
30270-6518,30270-6518,,SFO,1,0,0,0,0,19
30270-6517,30270-6517,,SFO,1,1,0,0,0,19
30270-6516,30270-6516,,PHX,1,1,1,0,0,19
30270-6515,30270-6515,,SFO,1,1,1,0,0,19
30270-6514,30270-6514,,SFO,1,1,0,0,0,19
30270-6405,30270-6405,,SFO,1,1,1,1,0,19
30270-6385,30270-6385,,SFO,1,1,1,0,0,19
30270-6368,30270-6368,,PHX,1,1,1,1,0,19
30270-6352,30270-6352,,SFO,1,1,1,1,0,19
30270-6347,30270-6347,,LA,1,1,1,0,0,19
30270-6346,30270-6346,,SFO,1,1,0,0,0,19
30270-6342,30270-6342,,SFO,1,1,0,0,0,19
30270-6341,30270-6341,,SFO,1,0,0,0,0,19
30270-6338,30270-6338,,PHX,1,1,1,0,0,19
30270-6337,30270-6337,,PHX,1,0,0,0,0,19
30270-6336,30270-6336,,SFO,1,1,1,1,1,19
30270-6335,30270-6335,,PHX,1,0,0,0,0,19
30270-6198,30270-6198,,PHX,1,1,1,1,0,19
30270-6150,30270-6150,,PHX,1,1,1,0,0,19
30270-6149,30270-6149,,PHX,1,1,1,1,1,19
30270-6133,30270-6133,,SFO,1,1,0,0,0,19
30270-6132,30270-6132,,SFO,1,1,0,0,0,19
30270-6131,30270-6131,,PHX,1,0,0,0,0,19
30270-5997,30270-5997,,PHX,1,1,1,1,1,19
30270-5961,30270-5961,,SFO,1,1,0,0,0,19
30270-5960,30270-5960,,SFO,1,0,0,0,0,19
30270-5959,30270-5959,,SFO,1,1,1,0,0,19
30270-5958,30270-5958,,SFO,1,0,0,0,0,19
30270-5957,30270-5957,,SFO,1,1,0,0,0,19
30270-5896,30270-5896,,PHX,1,1,1,1,0,20
30270-5760,30270-5760,,PHX,1,1,0,0,0,20
30270-5758,30270-5758,,SFO,1,1,1,0,0,20
30270-5756,30270-5756,,PHX,1,1,0,0,0,20
30270-5612,30270-5612,,PHX,1,1,0,0,0,20
30270-5611,30270-5611,,PHX,1,1,0,0,0,20
30270-5593,30270-5593,,SFO,1,0,0,0,0,20
30270-5592,30270-5592,,SFO,1,1,1,0,0,20
30270-5591,30270-5591,,PHX,1,1,1,0,0,20
30270-5588,30270-5588,,PHX,1,1,0,0,0,20
30270-5456,30270-5456,,SFO,1,1,1,0,0,20
30270-5319,30270-5319,,PHX,1,1,0,0,0,20
30270-5318,30270-5318,,SFO,1,1,0,0,0,20
30270-5208,30270-5208,,SFO,1,1,0,0,0,20
30270-5114,30270-5114,,SFO,1,1,0,0,0,20
30270-5085,30270-5085,,SFO,1,1,1,0,0,20
30270-5083,30270-5083,,SFO,1,1,1,0,0,20
30270-5081,30270-5081,,SFO,1,1,0,0,0,20
30270-4882,30270-4882,,PHX,1,1,1,0,0,20
30270-4880,30270-4880,19,PHX,1,1,0,0,0,20
30270-4768,30270-4768,20,PHX,1,1,1,0,0,20
30270-4484,30270-4484,16,PHX,1,1,0,1,0,20
30270-4363,30270-4363,17,PHX,1,1,0,0,0,20
30270-3842,30270-3842,14,SFO,1,1,1,0,0,20
30270-3838,30270-3838,13,PHX,1,1,0,0,0,20
30270-1730,30270-1730,6,PHX,1,0,0,0,0,20
30270-1583,30270-1583,7,PHX,1,1,1,1,0,20
30270-1501,30270-1501,5,PHX,1,1,1,0,0,20
victor-2023-4,,4,PHX,1,1,1,0,0,20
victor-2023-1,,1,PHX,1,1,1,1,0,20
