year,mode,manufacturer,vin,miles,reported_events
2020,safety-driver,Apple,2T2BGMCA0GC007400,0.0,0
2020,safety-driver,Apple,2T2BGMCA0GC007946,0.0,0
2020,safety-driver,Apple,2T2BGMCA0HC014753,1235.7,12
2020,safety-driver,Apple,2T2BGMCA0HC015899,0.0,0
2020,safety-driver,Apple,2T2BGMCA0HC016082,0.0,0
2020,safety-driver,Apple,2T2BGMCA0HC019225,476.0,2
2020,safety-driver,Apple,2T2BGMCA0HC019709,0.0,0
2020,safety-driver,Apple,2T2BGMCA0HC019919,0.0,0
2020,safety-driver,Apple,2T2BGMCA0HC019967,343.7,2
2020,safety-driver,Apple,2T2BGMCA0HC020083,0.0,0
2020,safety-driver,Apple,2T2BGMCA1GC008135,492.3,5
2020,safety-driver,Apple,2T2BGMCA1HC014096,676.5,4
2020,safety-driver,Apple,2T2BGMCA1HC016933,0.0,0
2020,safety-driver,Apple,2T2BGMCA2GC003882,42.5,0
2020,safety-driver,Apple,2T2BGMCA2GC004112,0.0,0
2020,safety-driver,Apple,2T2BGMCA2GC005566,0.0,0
2020,safety-driver,Apple,2T2BGMCA2GC007334,0.0,0
2020,safety-driver,Apple,2T2BGMCA2GC007754,0.0,0
2020,safety-driver,Apple,2T2BGMCA2GC008418,0.0,0
2020,safety-driver,Apple,2T2BGMCA2HC012521,1004.3,5
2020,safety-driver,Apple,2T2BGMCA2HC019338,1189.3,7
2020,safety-driver,Apple,2T2BGMCA2HC019890,0.0,0
2020,safety-driver,Apple,2T2BGMCA2HC019968,0.0,0
2020,safety-driver,Apple,2T2BGMCA2HC020151,1355.5,9
2020,safety-driver,Apple,2T2BGMCA3GC007861,26.4,12
2020,safety-driver,Apple,2T2BGMCA3GC007911,0.0,0
2020,safety-driver,Apple,2T2BGMCA3HC014584,0.0,0
2020,safety-driver,Apple,2T2BGMCA3HC020062,971.7,9
2020,safety-driver,Apple,2T2BGMCA4GC005228,0.0,0
2020,safety-driver,Apple,2T2BGMCA4HC016845,0.5,0
2020,safety-driver,Apple,2T2BGMCA4HC016912,0.0,0
2020,safety-driver,Apple,2T2BGMCA4HC019826,266.2,0
2020,safety-driver,Apple,2T2BGMCA4HC020118,2961.7,10
2020,safety-driver,Apple,2T2BGMCA5GC006145,0.0,0
2020,safety-driver,Apple,2T2BGMCA5HC014389,3806.5,23
2020,safety-driver,Apple,2T2BGMCA5HC019219,0.0,0
2020,safety-driver,Apple,2T2BGMCA5HC019432,0.0,0
2020,safety-driver,Apple,2T2BGMCA5HC019737,0.0,0
2020,safety-driver,Apple,2T2BGMCA5HC019818,0.0,0
